source,date,new_cases,deaths,0-4,5-9,10-14,15-19,20-24,25-29,30-34,35-39,40-44,45-49,50-54,55-59,60-64,65-69,70-74,75-79,80-84,85-89,90-94,95-99
https://coronavirus.bg/bg/news/1954,07-06-2021,47,7,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,2,0,3,0,0
https://coronavirus.bg/bg/news/1949,05-06-2021,157,18,0,0,0,0,0,0,0,0,1,1,0,2,2,3,0,4,2,3,0,0
https://coronavirus.bg/bg/news/1952,06-06-2021,89,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0
https://coronavirus.bg/bg/news/1942,04-06-2021,170,45,0,0,0,0,0,0,0,0,0,1,2,2,4,4,7,7,13,5,0,0
https://coronavirus.bg/bg/news/1938,03-06-2021,197,21,0,0,0,0,0,0,0,0,0,1,0,3,2,2,3,3,6,0,1,0
https://coronavirus.bg/bg/news/1935,02-06-2021,236,26,0,0,0,0,0,0,0,0,0,1,2,1,1,3,9,3,4,2,0,0
https://coronavirus.bg/bg/news/1927,31-05-2021,53,5,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,1,0,1,0,0
https://coronavirus.bg/bg/news/1931,01-06-2021,303,38,0,0,0,0,0,0,1,0,1,0,2,3,2,4,6,9,2,5,3,0
https://coronavirus.bg/bg/news/1926,30-05-2021,115,5,0,0,0,0,0,0,0,0,0,0,0,0,2,1,1,0,0,1,0,0
https://coronavirus.bg/bg/news/1922,29-05-2021,287,15,0,0,0,0,0,0,1,0,0,1,1,1,1,2,4,3,0,1,0,0
https://coronavirus.bg/bg/news/1912,28-05-2021,293,20,0,0,0,0,0,0,0,0,1,0,0,0,1,4,4,6,3,1,0,0
https://coronavirus.bg/bg/news/1904,27-05-2021,393,36,0,0,0,0,0,0,1,0,1,1,0,2,2,7,7,5,4,5,1,0
https://coronavirus.bg/bg/news/1898,26-05-2021,406,68,0,0,0,0,1,1,0,3,1,2,0,4,7,12,8,15,9,5,0,0
https://coronavirus.bg/bg/news/1894,24-05-2021,81,9,0,0,0,0,0,0,0,0,0,1,1,0,0,1,2,1,0,2,0,1
https://coronavirus.bg/bg/news/1895,25-05-2021,81,17,0,0,0,0,0,0,0,0,0,0,0,1,3,0,4,5,3,0,1,0
https://coronavirus.bg/bg/news/1893,23-05-2021,148,13,0,0,0,0,0,0,0,0,0,0,0,1,3,1,5,2,1,0,0,0
https://coronavirus.bg/bg/news/1890,22-05-2021,362,27,0,0,0,0,0,0,0,0,0,0,0,1,2,11,5,3,2,3,0,0
https://coronavirus.bg/bg/news/1884,21-05-2021,368,31,0,0,0,0,0,1,1,0,0,2,1,0,4,3,7,5,4,3,0,0
https://coronavirus.bg/bg/news/1878,20-05-2021,361,37,0,0,0,1,0,0,0,0,0,0,1,1,2,7,8,8,5,1,1,1
https://coronavirus.bg/bg/news/1875,19-05-2021,457,36,0,0,0,0,0,0,0,0,0,1,1,1,5,0,8,9,7,4,0,0
https://coronavirus.bg/bg/news/1867,18-05-2021,677,84,0,0,0,0,0,0,0,0,0,2,5,3,8,11,17,18,11,8,1,0
https://coronavirus.bg/bg/news/1858,16-05-2021,203,7,0,0,0,0,0,0,0,0,0,0,1,0,1,1,2,1,1,0,0,0
https://coronavirus.bg/bg/news/1859,17-05-2021,151,9,0,0,0,0,0,0,0,0,0,1,0,0,0,1,2,2,0,3,0,0
https://coronavirus.bg/bg/news/1854,15-05-2021,518,49,0,0,0,0,0,0,0,0,0,1,3,3,4,6,7,14,8,1,2,0
